can_id,before_level,after_level,emptied_at,note
1,82.51,10.93,2026-03-10 15:51:31.935883,mock_auto_empty
1,80.03,10.64,2026-03-12 08:51:31.935883,mock_auto_empty
1,80.18,7.95,2026-03-13 19:51:31.935883,mock_auto_empty
1,81.45,10.43,2026-03-15 14:51:31.935883,mock_auto_empty
1,82.08,12.18,2026-03-17 09:51:31.935883,mock_auto_empty
1,82.31,11.76,2026-03-18 19:51:31.935883,mock_auto_empty
1,82.35,10.56,2026-03-20 15:51:31.935883,mock_auto_empty
1,83.52,7.72,2026-03-22 10:51:31.935883,mock_auto_empty
1,82.36,8.45,2026-03-23 20:51:31.935883,mock_auto_empty
1,82.22,9.2,2026-03-25 15:51:31.935883,mock_auto_empty
1,83.61,10.02,2026-03-27 10:51:31.935883,mock_auto_empty
1,81.27,9.77,2026-03-28 23:51:31.935883,mock_auto_empty
1,80.48,13.4,2026-03-30 14:51:31.935883,mock_auto_empty
1,82.53,12.74,2026-04-01 09:51:31.935883,mock_auto_empty
1,82.9,13.25,2026-04-02 19:51:31.935883,mock_auto_empty
1,82.05,13.23,2026-04-04 14:51:31.935883,mock_auto_empty
1,80.19,11.43,2026-04-06 08:51:31.935883,mock_auto_empty
1,82.62,11.63,2026-04-07 19:51:31.935883,mock_auto_empty
1,81.15,11.95,2026-04-09 13:51:31.935883,mock_auto_empty
1,80.91,11.57,2026-04-11 07:51:31.935883,mock_auto_empty
1,81.75,9.95,2026-04-12 19:51:31.935883,mock_auto_empty
1,82.63,8.9,2026-04-14 14:51:31.935883,mock_auto_empty
1,80.59,10.68,2026-04-16 10:51:31.935883,mock_auto_empty
1,81.39,13.13,2026-04-17 19:51:31.935883,mock_auto_empty
1,81.24,6.71,2026-04-19 11:51:31.935883,mock_auto_empty
1,80.27,6.2,2026-04-21 00:51:31.935883,mock_auto_empty
1,80.33,11.1,2026-04-22 18:51:31.935883,mock_auto_empty
1,84.42,4.31,2026-04-24 11:51:31.935883,mock_auto_empty
1,80.86,9.62,2026-04-25 23:51:31.935883,mock_auto_empty
1,80.57,6.69,2026-04-27 15:51:31.935883,mock_auto_empty
1,80.14,7.63,2026-04-29 12:51:31.935883,mock_auto_empty
1,83.45,7.79,2026-05-01 09:51:31.935883,mock_auto_empty
1,81.55,13.29,2026-05-02 19:51:31.935883,mock_auto_empty
1,81.56,7.32,2026-05-04 14:51:31.935883,mock_auto_empty
1,84.02,4.87,2026-05-06 11:51:31.935883,mock_auto_empty
2,81.55,12.08,2026-03-10 14:51:31.965220,mock_auto_empty
2,82.91,10.98,2026-03-12 10:51:31.965220,mock_auto_empty
2,80.43,3.44,2026-03-14 00:51:31.965220,mock_auto_empty
2,81.42,6.04,2026-03-15 18:51:31.965220,mock_auto_empty
2,80.44,9.77,2026-03-17 16:51:31.965220,mock_auto_empty
2,83.57,5.78,2026-03-19 11:51:31.965220,mock_auto_empty
2,81.12,11.47,2026-03-21 10:51:31.965220,mock_auto_empty
2,80.9,9.48,2026-03-22 19:51:31.965220,mock_auto_empty
2,81.67,8.21,2026-03-24 13:51:31.965220,mock_auto_empty
2,81.0,6.49,2026-03-26 11:51:31.965220,mock_auto_empty
2,80.22,5.8,2026-03-28 04:51:31.965220,mock_auto_empty
2,81.72,8.56,2026-03-29 18:51:31.965220,mock_auto_empty
2,82.4,12.75,2026-03-31 13:51:31.965220,mock_auto_empty
2,80.01,7.72,2026-04-02 02:51:31.965220,mock_auto_empty
2,80.66,12.46,2026-04-03 14:51:31.965220,mock_auto_empty
2,81.87,9.82,2026-04-05 10:51:31.965220,mock_auto_empty
2,80.09,6.02,2026-04-06 22:51:31.965220,mock_auto_empty
2,83.05,6.86,2026-04-08 19:51:31.965220,mock_auto_empty
2,80.03,11.65,2026-04-10 19:51:31.965220,mock_auto_empty
2,80.83,13.85,2026-04-12 14:51:31.965220,mock_auto_empty
2,81.0,8.48,2026-04-14 09:51:31.965220,mock_auto_empty
2,83.69,7.36,2026-04-15 20:51:31.965220,mock_auto_empty
2,81.25,11.38,2026-04-17 15:51:31.965220,mock_auto_empty
2,82.32,7.43,2026-04-19 10:51:31.965220,mock_auto_empty
2,80.57,9.04,2026-04-21 00:51:31.965220,mock_auto_empty
2,83.31,6.71,2026-04-22 14:51:31.965220,mock_auto_empty
2,83.5,5.99,2026-04-24 11:51:31.965220,mock_auto_empty
2,80.32,10.12,2026-04-25 23:51:31.965220,mock_auto_empty
2,82.64,11.17,2026-04-27 18:51:31.965220,mock_auto_empty
2,83.29,11.62,2026-04-29 13:51:31.965220,mock_auto_empty
2,80.67,7.7,2026-05-01 07:51:31.965220,mock_auto_empty
2,82.49,9.68,2026-05-02 18:51:31.965220,mock_auto_empty
2,84.13,6.8,2026-05-04 11:51:31.965220,mock_auto_empty
2,82.31,13.99,2026-05-06 09:51:31.965220,mock_auto_empty
2,82.63,9.27,2026-05-07 18:51:31.965220,mock_auto_empty
3,80.3,8.67,2026-03-10 10:51:31.987931,mock_auto_empty
