can_id,log_time,fill_level,fill_rate,hours_since_empty,hour_of_day,battery_level,needs_collection
1,2026-03-09 00:51:31.935883,12.71,0.7367,999.0,0,95.73,0
1,2026-03-09 01:51:31.935883,12.75,0.5267,999.0,1,95.7,0
1,2026-03-09 02:51:31.935883,12.89,0.2067,999.0,2,95.69,0
1,2026-03-09 03:51:31.935883,13.17,0.1533,999.0,3,95.64,0
1,2026-03-09 04:51:31.935883,13.22,0.1567,999.0,4,95.61,0
1,2026-03-09 05:51:31.935883,13.25,0.12,999.0,5,95.58,0
1,2026-03-09 06:51:31.935883,14.68,0.5033,999.0,6,95.55,0
1,2026-03-09 07:51:31.935883,15.52,0.7667,999.0,7,95.53,0
1,2026-03-09 08:51:31.935883,19.64,2.13,999.0,8,95.51,0
1,2026-03-09 09:51:31.935883,24.51,3.2767,999.0,9,95.46,0
1,2026-03-09 10:51:31.935883,26.73,3.7367,999.0,10,95.43,0
1,2026-03-09 11:51:31.935883,27.23,2.53,999.0,11,95.4,0
1,2026-03-09 12:51:31.935883,29.58,1.69,999.0,12,95.38,0
1,2026-03-09 13:51:31.935883,32.16,1.81,999.0,13,95.33,0
1,2026-03-09 14:51:31.935883,36.99,3.2533,999.0,14,95.28,0
1,2026-03-09 15:51:31.935883,37.53,2.65,999.0,15,95.27,0
1,2026-03-09 16:51:31.935883,39.39,2.41,999.0,16,95.25,0
1,2026-03-09 17:51:31.935883,44.18,2.3967,999.0,17,95.21,0
1,2026-03-09 18:51:31.935883,47.56,3.3433,999.0,18,95.18,0
1,2026-03-09 19:51:31.935883,52.54,4.3833,999.0,19,95.15,0
1,2026-03-09 20:51:31.935883,53.93,3.25,999.0,20,95.14,0
1,2026-03-09 21:51:31.935883,55.04,2.4933,999.0,21,95.1,0
1,2026-03-09 22:51:31.935883,56.28,1.2467,999.0,22,95.05,0
1,2026-03-09 23:51:31.935883,56.96,1.01,999.0,23,95.01,0
1,2026-03-10 00:51:31.935883,57.09,0.6833,999.0,0,94.98,0
1,2026-03-10 01:51:31.935883,57.26,0.3267,999.0,1,94.96,0
1,2026-03-10 02:51:31.935883,57.52,0.1867,999.0,2,94.94,0
1,2026-03-10 03:51:31.935883,57.81,0.24,999.0,3,94.89,0
1,2026-03-10 04:51:31.935883,57.89,0.21,999.0,4,94.88,0
1,2026-03-10 05:51:31.935883,58.2,0.2267,999.0,5,94.87,0
1,2026-03-10 06:51:31.935883,59.24,0.4767,999.0,6,94.82,0
1,2026-03-10 07:51:31.935883,60.0,0.7033,999.0,7,94.77,0
1,2026-03-10 08:51:31.935883,63.05,1.6167,999.0,8,94.75,0
1,2026-03-10 09:51:31.935883,67.16,2.64,999.0,9,94.71,1
1,2026-03-10 10:51:31.935883,71.03,3.6767,999.0,10,94.68,1
1,2026-03-10 11:51:31.935883,71.72,2.89,999.0,11,94.64,1
1,2026-03-10 12:51:31.935883,75.06,2.6333,999.0,12,94.62,1
1,2026-03-10 13:51:31.935883,78.36,2.4433,999.0,13,94.59,1
1,2026-03-10 14:51:31.935883,82.51,3.5967,999.0,14,94.58,1
1,2026-03-10 15:51:31.935883,10.93,-21.3767,999.0,15,94.55,0
1,2026-03-10 16:51:31.935883,12.36,-22.0,1.0,16,94.53,0
1,2026-03-10 17:51:31.935883,14.95,-22.52,2.0,17,94.51,0
1,2026-03-10 18:51:31.935883,17.84,2.3033,3.0,18,94.47,0
1,2026-03-10 19:51:31.935883,21.1,2.9133,4.0,19,94.46,0
1,2026-03-10 20:51:31.935883,22.95,2.6667,5.0,20,94.44,0
1,2026-03-10 21:51:31.935883,23.81,1.99,6.0,21,94.39,0
1,2026-03-10 22:51:31.935883,24.55,1.15,7.0,22,94.37,0
1,2026-03-10 23:51:31.935883,25.86,0.97,8.0,23,94.33,0
1,2026-03-11 00:51:31.935883,26.15,0.78,9.0,0,94.31,0
1,2026-03-11 01:51:31.935883,26.52,0.6567,10.0,1,94.3,0
1,2026-03-11 02:51:31.935883,26.86,0.3333,11.0,2,94.29,0
1,2026-03-11 03:51:31.935883,27.27,0.3733,12.0,3,94.28,0
1,2026-03-11 04:51:31.935883,27.71,0.3967,13.0,4,94.26,0
1,2026-03-11 05:51:31.935883,27.85,0.33,14.0,5,94.21,0
1,2026-03-11 06:51:31.935883,28.83,0.52,15.0,6,94.19,0
1,2026-03-11 07:51:31.935883,29.44,0.5767,16.0,7,94.16,0
1,2026-03-11 08:51:31.935883,33.87,2.0067,17.0,8,94.11,0
1,2026-03-11 09:51:31.935883,37.56,2.91,18.0,9,94.1,0
1,2026-03-11 10:51:31.935883,42.04,4.2,19.0,10,94.05,0
1,2026-03-11 11:51:31.935883,43.45,3.1933,20.0,11,94.01,0
1,2026-03-11 12:51:31.935883,48.28,3.5733,21.0,12,94.0,0
1,2026-03-11 13:51:31.935883,51.76,3.24,22.0,13,93.96,0
1,2026-03-11 14:51:31.935883,56.27,4.2733,23.0,14,93.93,0
1,2026-03-11 15:51:31.935883,58.15,3.29,24.0,15,93.91,0
1,2026-03-11 16:51:31.935883,59.45,2.5633,25.0,16,93.87,0
1,2026-03-11 17:51:31.935883,64.36,2.6967,26.0,17,93.83,0
1,2026-03-11 18:51:31.935883,68.75,3.5333,27.0,18,93.78,0
1,2026-03-11 19:51:31.935883,71.58,4.0433,28.0,19,93.76,0
1,2026-03-11 20:51:31.935883,73.29,2.9767,29.0,20,93.74,0
1,2026-03-11 21:51:31.935883,75.12,2.1233,30.0,21,93.72,0
1,2026-03-11 22:51:31.935883,75.66,1.36,31.0,22,93.68,0
1,2026-03-11 23:51:31.935883,77.14,1.2833,32.0,23,93.66,0
1,2026-03-12 00:51:31.935883,77.2,0.6933,33.0,0,93.63,1
1,2026-03-12 01:51:31.935883,77.33,0.5567,34.0,1,93.59,1
1,2026-03-12 02:51:31.935883,77.72,0.1933,35.0,2,93.54,1
1,2026-03-12 03:51:31.935883,77.73,0.1767,36.0,3,93.53,1
1,2026-03-12 04:51:31.935883,77.73,0.1333,37.0,4,93.49,0
1,2026-03-12 05:51:31.935883,77.74,0.0067,38.0,5,93.48,0
1,2026-03-12 06:51:31.935883,78.5,0.2567,39.0,6,93.45,1
1,2026-03-12 07:51:31.935883,80.03,0.7667,40.0,7,93.41,1
1,2026-03-12 08:51:31.935883,10.64,-22.3667,41.0,8,93.39,0
1,2026-03-12 09:51:31.935883,13.49,-21.67,1.0,9,93.36,0
1,2026-03-12 10:51:31.935883,17.15,-20.96,2.0,10,93.31,0
1,2026-03-12 11:51:31.935883,18.08,2.48,3.0,11,93.29,0
1,2026-03-12 12:51:31.935883,20.27,2.26,4.0,12,93.26,0
1,2026-03-12 13:51:31.935883,24.41,2.42,5.0,13,93.24,0
1,2026-03-12 14:51:31.935883,28.57,3.4967,6.0,14,93.22,0
